feature,importance_mean,importance_std
mentions_earth_fault,0.49270175438596486,0.11570117433045501
event_weekday,0.0,0.0
comments_concat,0.0,0.0
location_primary,0.0,0.0
season,0.0,0.0
reporter,0.0,0.0
weather,0.0,0.0
substation_area,0.0,0.0
mentions_trip_failure,0.0,0.0
mentions_voltage_issue,0.0,0.0
mentions_diff,0.0,0.0
mentions_buchholz,0.0,0.0
mentions_three_phase,0.0,0.0
mentions_phase,0.0,0.0
event_hour,0.0,0.0
mentions_overcurrent,0.0,0.0
has_comments,0.0,0.0
any_reclosed_arc,0.0,0.0
any_reclosed_clock,0.0,0.0
voltage_level_kv,0.0,0.0
max_reclose_delay_hours,0.0,0.0
min_reclose_delay_hours,0.0,0.0
mean_downtime_hours,0.0,0.0
max_downtime_hours,0.0,0.0
unique_apparatus_count,0.0,0.0
row_count,0.0,0.0
event_month,0.0,0.0
apparatus_concat,0.0,0.0
